27 дек. 2022 08:41:51,184  INFO StartLogger - Initializing main logic for module : #6 of 42 Image (actual: 18)
27 дек. 2022 08:41:51,183  INFO StartLogger - Initializing main logic for module : #5 of 42 Com (actual: 31)
27 дек. 2022 08:41:51,184  INFO StartLogger - Initializing main logic for module : #7 of 42 Time (actual: 2)
27 дек. 2022 08:41:51,183  INFO StartLogger - Initializing main logic for module : #3 of 42 OpenCV (actual: 40)
27 дек. 2022 08:41:51,185  INFO StartLogger - Initializing main logic for module : #9 of 42 ProcessUtils (actual: 35)
27 дек. 2022 08:41:51,184  INFO StartLogger - Initializing main logic for module : #8 of 42 Printer (actual: 17)
27 дек. 2022 08:41:51,183  INFO StartLogger - Initializing main logic for module : #4 of 42 Sound (actual: 34)
27 дек. 2022 08:41:51,189  INFO StartLogger - Initializing main logic for module : #10 of 42 DefaultData (actual: 13)
27 дек. 2022 08:41:51,191  INFO StartLogger - Initializing main logic for module : #11 of 42 HockeyStats (actual: 16)
27 дек. 2022 08:41:51,191  INFO StartLogger - Initializing main logic for module : #12 of 42 MasterData (actual: 6)
27 дек. 2022 08:41:51,202  INFO StartLogger - Initializing main logic for module : #13 of 42 Numerator (actual: 19)
27 дек. 2022 08:41:51,308  INFO StartLogger - Initializing main logic for module : #14 of 42 Authentication (actual: 3)
27 дек. 2022 08:41:51,308  INFO StartLogger - Initializing main logic for module : #15 of 42 Utils (actual: 7)
27 дек. 2022 08:41:51,391  INFO StartLogger - Initializing main logic for module : #16 of 42 Geo (actual: 36)
27 дек. 2022 08:41:51,391  INFO StartLogger - Initializing main logic for module : #17 of 42 Excel (actual: 25)
27 дек. 2022 08:41:51,391  INFO StartLogger - Initializing main logic for module : #18 of 42 Fax (actual: 42)
27 дек. 2022 08:41:51,392  INFO StartLogger - Initializing main logic for module : #19 of 42 Hierarchy (actual: 24)
27 дек. 2022 08:41:51,393  INFO StartLogger - Initializing main logic for module : #20 of 42 Schedule (actual: 41)
27 дек. 2022 08:41:51,394  INFO StartLogger - Initializing main logic for module : #21 of 42 I18n (actual: 30)
27 дек. 2022 08:41:51,553  INFO StartLogger - Initializing main logic for module : #22 of 42 Reflection (actual: 4)
27 дек. 2022 08:41:51,553  INFO StartLogger - Initializing main logic for module : #23 of 42 Document (actual: 20)
27 дек. 2022 08:41:51,553  INFO StartLogger - Initializing main logic for module : #24 of 42 ProcessMonitor (actual: 21)
27 дек. 2022 08:41:51,553  INFO StartLogger - Initializing main logic for module : #25 of 42 Historizable (actual: 23)
27 дек. 2022 08:41:51,710  INFO StartLogger - Initializing main logic for module : #26 of 42 Messenger (actual: 32)
27 дек. 2022 08:41:51,710  INFO StartLogger - Initializing main logic for module : #27 of 42 Email (actual: 9)
27 дек. 2022 08:41:51,710  INFO StartLogger - Initializing main logic for module : #28 of 42 SystemEvents (actual: 5)
27 дек. 2022 08:41:51,730  INFO StartLogger - Initializing main logic for module : #29 of 42 Viber (actual: 37)
27 дек. 2022 08:41:51,730  INFO StartLogger - Initializing main logic for module : #30 of 42 Slack (actual: 39)
27 дек. 2022 08:41:51,731  INFO StartLogger - Initializing main logic for module : #32 of 42 Skype (actual: 38)
27 дек. 2022 08:41:51,731  INFO StartLogger - Initializing main logic for module : #31 of 42 Telegram (actual: 33)
27 дек. 2022 08:41:51,855  INFO StartLogger - Initializing main logic for module : #33 of 42 Security (actual: 10)
27 дек. 2022 08:41:51,855  INFO StartLogger - Initializing main logic for module : #34 of 42 Word (actual: 8)
27 дек. 2022 08:41:52,006  INFO StartLogger - Initializing main logic for module : #35 of 42 Service (actual: 11)
27 дек. 2022 08:41:52,121  INFO StartLogger - Initializing main logic for module : #36 of 42 Eval (actual: 29)
